"date","time","long","lat"
2015-04-10,"18:30",-81.386101317,28.520676581
2015-04-11,"02:30",-81.41903775,28.50818227
2015-04-11,"11:26",-81.398570495,28.510628912
2015-04-11,"11:30",-81.382692429,28.55000211
2015-04-11,"11:51",-81.379171907,28.561347133
2015-04-11,"14:40",-81.382912157,28.535675545
2015-04-11,"15:45",-81.420156463,28.507570128
2015-04-11,"20:35",-81.396584545,28.510292556
2015-04-11,"20:56",-81.38228809,28.553057453
2015-04-11,"21:30",-81.379054936,28.561522589
2015-04-11,"21:55",-81.38001975,28.559764316
2015-04-11,"22:29",-81.376304942,28.565704819
2015-04-11,"23:10",-81.383473326,28.534528665
2015-04-11,"23:16",-81.375800579,28.575068837
2015-04-12,"03:24",-81.384931119,28.595382849
2015-04-12,"13:49",-81.382260702,28.553808294
2015-04-13,"15:45",-81.3861119,28.522291115
2015-04-13,"18:30",-81.384277309,28.533244031
2015-04-13,"21:09",-81.375053782,28.582105282
2015-04-14,"04:01",-81.375044348,28.58171283
2015-04-14,"08:30",-81.384804449,28.59526879
2015-04-14,"09:56",-81.397738363,28.509830566
2015-04-14,"17:40",-81.386135862,28.598477207
2015-04-14,"21:38",-81.384450595,28.59521116
2015-04-15,"07:36",-81.3817656,28.592689836
2015-04-15,"13:01",-81.397051302,28.510075945
2015-04-15,"13:19",-81.422098077,28.505863588
2015-04-15,"13:49",-81.388943833,28.515592879
2015-04-15,"15:45",-81.414743828,28.509164665
2015-04-15,"16:41",-81.394766741,28.511339539
2015-04-15,"20:50",-81.386313521,28.604292789
2015-04-16,"07:54",-81.395512412,28.510861492
2015-04-16,"09:30",-81.384859347,28.595589889
2015-04-16,"14:15",-81.385958341,28.526826374
2015-04-16,"21:50",-81.395788627,28.510702925
2015-04-16,"21:52",-81.397142855,28.510043247
2015-04-17,"00:45",-81.385433007,28.595956583
2015-04-17,"08:16",-81.386279982,28.520842998
2015-04-17,"17:48",-81.38102314,28.557500485
2015-04-17,"17:49",-81.383582312,28.534713489
2015-04-17,"18:00",-81.375800579,28.575068837
2015-04-18,"08:43",-81.385433007,28.595956583
2015-04-18,"09:00",-81.386874761,28.607698319
2015-04-18,"13:54",-81.416875117,28.509391626
2015-04-18,"22:00",-81.376189418,28.571148923
2015-04-18,"22:50",-81.38613827,28.525620918
2015-04-20,"09:27",-81.386640515,28.609042962
2015-04-20,"14:30",-81.386390999,28.51929283
2015-04-20,"14:31",-81.376121171,28.566171811
2015-04-20,"16:05",-81.383931545,28.533805554
2015-04-20,"16:55",-81.378997345,28.590344865
2015-04-20,"17:00",-81.382444285,28.551975131
2015-04-20,"18:14",-81.375221695,28.582537279
2015-04-21,"11:44",-81.389186843,28.515418696
2015-04-21,"17:40",-81.381903786,28.539967399
2015-04-21,"17:45",-81.398921118,28.509520626
2015-04-21,"18:43",-81.382664178,28.539720768
2015-04-21,"19:53",-81.385958341,28.526826374
2015-04-22,"02:07",-81.375071753,28.583894449
2015-04-22,"11:45",-81.382173445,28.554811796
2015-04-22,"14:10",-81.378733019,28.561660673
2015-04-22,"14:50",-81.396498059,28.510334719
2015-04-23,"11:20",-81.382532806,28.538262967
2015-04-23,"11:39",-81.386298986,28.598493964
2015-04-23,"12:33",-81.383331557,28.534775325
2015-04-23,"13:43",-81.38578968,28.530878974
2015-04-23,"15:10",-81.385886227,28.530631863
2015-04-23,"17:57",-81.381134639,28.557786038
2015-04-24,"07:09",-81.382376891,28.547544365
2015-04-24,"08:12",-81.38615689,28.527278882
2015-04-24,"09:13",-81.380172461,28.559522821
2015-04-24,"12:42",-81.377015055,28.56449299
2015-04-24,"15:46",-81.397738363,28.509830566
2015-04-24,"15:50",-81.378059307,28.562977795
2015-04-24,"17:00",-81.382667198,28.53624797
2015-04-24,"18:45",-81.382422744,28.548808836
2015-04-24,"19:20",-81.381454652,28.592181844
2015-04-25,"10:00",-81.382422744,28.548808836
2015-04-25,"11:05",-81.38628227,28.521395095
2015-04-25,"23:40",-81.386104104,28.520545621
2015-04-26,"10:02",-81.418435497,28.507989219
2015-04-26,"10:45",-81.398269745,28.510779572
2015-04-26,"16:14",-81.38296893,28.5355399
2015-04-28,"08:40",-81.380172461,28.559522821
2015-04-28,"09:27",-81.38001975,28.559764316
2015-04-28,"10:58",-81.38273689,28.550960594
2015-04-28,"11:53",-81.383672415,28.594337276
2015-04-29,"13:12",-81.386306889,28.536034658
2015-04-29,"13:55",-81.379113908,28.561099154
2015-04-29,"16:37",-81.38613827,28.525620918
2015-04-29,"17:00",-81.382436563,28.549361563
2015-04-29,"17:36",-81.375859743,28.57428618
2015-04-29,"17:39",-81.382858903,28.53579803
2015-04-30,"07:53",-81.382176806,28.55479751
2015-04-30,"14:25",-81.383447557,28.534963324
2015-04-30,"15:00",-81.382416891,28.541605091
2015-04-30,"17:31",-81.377597923,28.589176158
2015-04-30,"18:25",-81.386882135,28.606885336
2015-05-01,"08:20",-81.386276572,28.535767515
2015-05-01,"08:30",-81.386276572,28.535767515
2015-05-01,"17:05",-81.375967548,28.58770807
2015-05-01,"22:00",-81.399586598,28.509426107
2015-05-02,"03:00",-81.378046251,28.561264208
2015-05-02,"14:10",-81.376189418,28.571148923
2015-05-02,"19:28",-81.382858903,28.53579803
2015-05-02,"19:35",-81.383135016,28.535160105
2015-05-02,"22:25",-81.382990891,28.536052657
2015-05-03,"12:28",-81.375286193,28.571444254
2015-05-03,"19:00",-81.41798845,28.509136234
2015-05-04,"15:22",-81.386344001,28.529723437
2015-05-04,"19:20",-81.416183753,28.509035892
